Nombre Reactor;Pais;Ciudad;Tipo;Potencia Térmica (KW);Estado;Fecha Primera Reacción
Waterfall;United Kingdom;Aldermaston;CRIT FAST;0;DECOMMISSIONED;1954-01-01T00:00:00
Atlas;United Kingdom;Aldermaston;CRIT ASSEMBLY;0;DECOMMISSIONED;1952-01-01T00:00:00
VIPER;United Kingdom;Aldermaston;FAST BURST;0.5;PERMANENT SHUTDOWN;1967-05-26T00:00:00
BERKELEY Zero Energy;United Kingdom;Berkeley;GRAPHITE;1;DECOMMISSIONED;1966-04-14T00:00:00
GR-B Subcritical Assembly;Greece;Thessaloniki;SUBCRIT;0;OPERATIONAL;1971-08-04T00:00:00
GHARR-1;Ghana;Accra;MNSR;30;OPERATIONAL;1994-12-17T00:00:00
IRT-M Tbilisi;Georgia;Tbilisi;POOL, IRT;8000;DECOMMISSIONED;1959-10-01T00:00:00
BEPO;United Kingdom;Didcot;GRAPHITE, AIR;6500;UNDER DECOMMISSIONING;1962-01-01T00:00:00
LIDO;United Kingdom;Didcot;POOL;300;DECOMMISSIONED;1956-09-01T00:00:00
HAZEL;United Kingdom;Didcot;HOMOG (L);0;DECOMMISSIONED;1957-01-01T00:00:00
DAPHNE;United Kingdom;Didcot;HEAVY WATER;0.1;DECOMMISSIONED;1962-01-01T00:00:00
ZENITH II;United Kingdom;Dorchester;GRAPHITE;1;DECOMMISSIONED;1972-03-01T00:00:00
ZENITH I;United Kingdom;Dorchester;GRAPHITE CO2;0.5;DECOMMISSIONED;1959-12-01T00:00:00
JUNO;United Kingdom;Dorchester;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1964-03-01T00:00:00
HERO;United Kingdom;Seascale;GRAPHITE AGR;3;DECOMMISSIONED;1962-06-01T00:00:00
Windscale AGR;United Kingdom;Seascale;GRAPHITE AGR;120000;DECOMMISSIONED;1962-08-09T00:00:00
Dragon;United Kingdom;Dorchester;HE COOLED;20000;UNDER DECOMMISSIONING;1964-01-01T00:00:00
Dounreay MTR;United Kingdom;Thurso;HEAVY WATER;22500;DECOMMISSIONED;1958-05-01T00:00:00
MERLIN;United Kingdom;Aldermaston;POOL;5000;DECOMMISSIONED;1959-07-01T00:00:00
HORACE;United Kingdom;Aldermaston;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1958-05-01T00:00:00
DIMPLE;United Kingdom;Dorchester;POOL;0.1;DECOMMISSIONED;1962-01-01T00:00:00
ICI TRIGA Reactor;United Kingdom;Billingham;TRIGA MARK I;250;DECOMMISSIONED;1971-08-01T00:00:00
Universities Research Reactor;United Kingdom;Warrington;ARGONAUT;300;DECOMMISSIONED;1964-07-07T00:00:00
CONSORT Imperial College;United Kingdom;London;POOL;100;DECOMMISSIONED;1965-09-04T00:00:00
UTR-300;United Kingdom;Glasgow;ARGONAUT;300;DECOMMISSIONED;1963-06-01T00:00:00
VERA Nuclear Assembly;United Kingdom;Aldermaston;CRIT FAST;0.1;DECOMMISSIONED;1961-01-01T00:00:00
VULCAN;United Kingdom;Thurso;PWR;0;PERMANENT SHUTDOWN;1961-01-01T00:00:00
Neptune;United Kingdom;Derby;POOL;0.3;OPERATIONAL;1963-01-03T00:00:00
HECTOR;United Kingdom;Dorchester;ZERO POWER HTD;0.1;DECOMMISSIONED;1963-03-01T00:00:00
HERALD;United Kingdom;Aldermaston;POOL;5000;DECOMMISSIONED;1960-10-10T00:00:00
NESTOR;United Kingdom;Didcot;ARGONAUT;30;DECOMMISSIONED;1961-01-01T00:00:00
ZEBRA;United Kingdom;Dorchester;CRIT FAST;1;DECOMMISSIONED;1962-12-01T00:00:00
Jason;United Kingdom;London;ARGONAUT;10;DECOMMISSIONED;1959-09-30T00:00:00
Dounreay Fast Reactor;United Kingdom;Thurso;FAST BREEDER;65000;UNDER DECOMMISSIONING;1959-11-01T00:00:00
PLUTO;United Kingdom;Harwell;HEAVY WATER;26000;UNDER DECOMMISSIONING;1957-10-25T00:00:00
DIDO;United Kingdom;Harwell;HEAVY WATER;26000;UNDER DECOMMISSIONING;1956-11-07T00:00:00
GLEEP;United Kingdom;Harwell;GRAPHITE;50;DECOMMISSIONED;1947-08-18T00:00:00
Toad;United Kingdom;Thurso;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1960-07-01T00:00:00
Panther;United Kingdom;Thurso;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1961-01-01T00:00:00
Puma;United Kingdom;Thurso;CRIT ASSEMBLY;0;DECOMMISSIONED;1960-11-01T00:00:00
Phoenix;United Kingdom;Thurso;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1960-07-01T00:00:00
Sirius;United Kingdom;Thurso;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1961-05-01T00:00:00
Tessie;United Kingdom;Thurso;CRIT ASSEMBLY;5;DECOMMISSIONED;1959-11-01T00:00:00
QMC Subcritical Assembly;United Kingdom;London;SUBCRIT;0;DECOMMISSIONED;1959-03-01T00:00:00
QMC UTR-B;United Kingdom;London;ARGONAUT;100;DECOMMISSIONED;1968-06-10T00:00:00
Ulysse;France;Gif-sur-Yvette;ARGONAUT;100;UNDER DECOMMISSIONING;1961-07-27T00:00:00
Silene;France;Dijon;HOMOG (L);1;PERMANENT SHUTDOWN;1974-01-01T00:00:00
Mirene;France;Dijon;HOMOG (L);0;DECOMMISSIONED;1975-01-01T00:00:00
Strasbourg-Cronenbourg;France;Strasbourg;ARGONAUT;100;DECOMMISSIONED;1966-11-22T00:00:00
Pegase;France;Saint-Paul-lès-Durance;TANK;30000;PERMANENT SHUTDOWN;1963-04-01T00:00:00
EL-2;France;Saclay;TANK;2500;DECOMMISSIONED;1952-01-01T00:00:00
ZOE (EL-1);France;Fontenay-aux-Roses;HEAVY WATER;150;DECOMMISSIONED;1948-12-15T00:00:00
Scarabee;France;Cadarache;POOL;100000;DECOMMISSIONED;1982-01-01T00:00:00
Phebus;France;Aix-en-Provence;POOL;38000;UNDER DECOMMISSIONING;1978-08-09T00:00:00
Cabri;France;Saint-Paul-lès-Durance;POOL;25000;OPERATIONAL;1963-01-01T00:00:00
ILL High Flux Reactor;France;Grenoble;HEAVY WATER;58300;OPERATIONAL;1971-07-01T00:00:00
Harmonie;France;Saint-Paul-lès-Durance;TANK;1;DECOMMISSIONED;1965-08-01T00:00:00
Rapsodie;France;Cadarache;FAST, POWER;40000;UNDER DECOMMISSIONING;1963-01-01T00:00:00
Siloette;France;Grenoble;POOL;100;DECOMMISSIONED;1964-02-01T00:00:00
Cesar;France;Saint-Paul-les-Durance;CRIT ASSEMBLY;10;DECOMMISSIONED;1964-12-01T00:00:00
